Ref,Val,Package,PosX,PosY,Rot,Side
"K_1","esc","SW_Hotswap_Kailh_Choc_V1V2_annotated",276.225000,-9.525000,0.000000,bottom
"K_2","1","SW_Hotswap_Kailh_Choc_V1V2_annotated",257.175000,-9.525000,0.000000,bottom
"K_3","2","SW_Hotswap_Kailh_Choc_V1V2_annotated",238.125000,-9.525000,0.000000,bottom
"K_4","3","SW_Hotswap_Kailh_Choc_V1V2_annotated",219.075000,-9.525000,0.000000,bottom
"K_5","4","SW_Hotswap_Kailh_Choc_V1V2_annotated",200.025000,-9.525000,0.000000,bottom
"K_6","5","SW_Hotswap_Kailh_Choc_V1V2_annotated",180.975000,-9.525000,0.000000,bottom
"K_7","6","SW_Hotswap_Kailh_Choc_V1V2_annotated",161.925000,-9.525000,0.000000,bottom
"K_8","7","SW_Hotswap_Kailh_Choc_V1V2_annotated",142.875000,-9.525000,0.000000,bottom
"K_9","8","SW_Hotswap_Kailh_Choc_V1V2_annotated",123.825000,-9.525000,0.000000,bottom
"K_10","9","SW_Hotswap_Kailh_Choc_V1V2_annotated",104.775000,-9.525000,0.000000,bottom
"K_11","0","SW_Hotswap_Kailh_Choc_V1V2_annotated",85.725000,-9.525000,0.000000,bottom
"K_12","minus","SW_Hotswap_Kailh_Choc_V1V2_annotated",66.675000,-9.525000,0.000000,bottom
"K_13","equals","SW_Hotswap_Kailh_Choc_V1V2_annotated",47.625000,-9.525000,0.000000,bottom
"K_14","bash","SW_Hotswap_Kailh_Choc_V1V2_annotated",28.575000,-9.525000,0.000000,bottom
"K_15","grave","SW_Hotswap_Kailh_Choc_V1V2_annotated",9.525000,-9.525000,0.000000,bottom
"K_16","tab","SW_Hotswap_Kailh_Choc_V1V2_annotated",271.462500,-28.575000,0.000000,bottom
"K_17","q","SW_Hotswap_Kailh_Choc_V1V2_annotated",247.650000,-28.575000,0.000000,bottom
"K_18","w","SW_Hotswap_Kailh_Choc_V1V2_annotated",228.600000,-28.575000,0.000000,bottom
"K_19","e","SW_Hotswap_Kailh_Choc_V1V2_annotated",209.550000,-28.575000,0.000000,bottom
"K_20","r","SW_Hotswap_Kailh_Choc_V1V2_annotated",190.500000,-28.575000,0.000000,bottom
"K_21","t","SW_Hotswap_Kailh_Choc_V1V2_annotated",171.450000,-28.575000,0.000000,bottom
"K_22","y","SW_Hotswap_Kailh_Choc_V1V2_annotated",152.400000,-28.575000,0.000000,bottom
"K_23","u","SW_Hotswap_Kailh_Choc_V1V2_annotated",133.350000,-28.575000,0.000000,bottom
"K_24","i","SW_Hotswap_Kailh_Choc_V1V2_annotated",114.300000,-28.575000,0.000000,bottom
"K_25","o","SW_Hotswap_Kailh_Choc_V1V2_annotated",95.250000,-28.575000,0.000000,bottom
"K_26","p","SW_Hotswap_Kailh_Choc_V1V2_annotated",76.200000,-28.575000,0.000000,bottom
"K_27","l_brace","SW_Hotswap_Kailh_Choc_V1V2_annotated",57.150000,-28.575000,0.000000,bottom
"K_28","r_brace","SW_Hotswap_Kailh_Choc_V1V2_annotated",38.100000,-28.575000,0.000000,bottom
"K_29","bksp","SW_Hotswap_Kailh_Choc_V1V2_annotated",14.287500,-28.575000,0.000000,bottom
"K_30","l_ctrl","SW_Hotswap_Kailh_Choc_V1V2_annotated",269.081250,-47.625000,0.000000,bottom
"K_31","a","SW_Hotswap_Kailh_Choc_V1V2_annotated",242.887500,-47.625000,0.000000,bottom
"K_32","s","SW_Hotswap_Kailh_Choc_V1V2_annotated",223.837500,-47.625000,0.000000,bottom
"K_33","d","SW_Hotswap_Kailh_Choc_V1V2_annotated",204.787500,-47.625000,0.000000,bottom
"K_34","f","SW_Hotswap_Kailh_Choc_V1V2_annotated",185.737500,-47.625000,0.000000,bottom
"K_35","g","SW_Hotswap_Kailh_Choc_V1V2_annotated",166.687500,-47.625000,0.000000,bottom
"K_36","h","SW_Hotswap_Kailh_Choc_V1V2_annotated",147.637500,-47.625000,0.000000,bottom
